name	female	male	number_of_GFP_kernels	number_of_WT_kernels	year	cross_type	family	category	allele	FPKM	PCR_confirmed
X403x415-4m1	403	415-4m1	211	206	2018	male	415	vegetative_cell_high	tdsgR01G01	176.627	TRUE
X442-2x402	442-2	402	146	175	2018	female	442	vegetative_cell_high	tdsgR35A08	162	TRUE
X439-3x402	439-3	402	168	151	2018	female	439	vegetative_cell_high	tdsgR31H05	196.9	TRUE
X401x445-1m1	401	445-1m1	198	165	2018	male	445	vegetative_cell_high	tdsgR41F01	159.129	TRUE
X401x440-2m1	401	440-2m1	202	275	2018	male	440	vegetative_cell_high	tdsgR33F03	304.574	TRUE
X403x435-1m1	403	435-1m1	155	151	2018	male	435	vegetative_cell_high	tdsgR27E01	47.4902	TRUE
X402x469A-3m3	402	469A-3m3	274	246	2018	male	469	vegetative_cell_high	tdsgR81G05	64.6735	TRUE
X402x474-2m1	402	474-2m1	183	203	2018	male	474	sperm_cell_high	tdsgR87A03	51.2846	TRUE
X402x475A-1m1	402	475A-1m1	148	118	2018	male	475	vegetative_cell_high	tdsgR88B08	720.42	TRUE
X402x427-3m1	402	427-3m1	241	241	2018	male	427	sperm_cell_high	tdsgR106G12	126.303	TRUE
X402x421-5m1	402	421-5m1	209	219	2018	male	421	vegetative_cell_high	tdsgR101B03	4371.01	TRUE
X402x490-5m3	402	490-5m3	196	265	2018	male	490	vegetative_cell_high	tdsgR49F11	4175.48	TRUE
X402x488-2m1	402	488-2m1	320	295	2018	male	488	vegetative_cell_high	tdsgR34C11	885.729	TRUE
