image_name	GFP_hand	wt_hand
X402x478A-5m4	185	170
X402x424-1m3	139	127
X401x424L-3m1	141	163
X402x483A-1m1	216	229
X402x483A-1m2	283	299
X402x483A-1m3	241	216
X401x483A-2m1	186	208
X400x483A-3m1	147	148
X402x461B-1m1	231	270
X402x461B-1m2	142	122
X401x461B-1m3	218	197
X402x461B-3m1	204	271
X403x461B-3m2	274	275
X402x461B-4m1	114	137
X401x461BL-2m1	226	218
X402x444B-1m1	290	240
X402x444B-1m2	181	194
X402x444B-1m3	146	121
X403x444B-3m1	119	151
X402x471A-1m1	260	271
X402x471A-1m2	130	164
X402x471A-1m3	228	245
X402x471B-1m1	236	228
X403x487B-2m2	242	217
X403x487B-3m1	172	191
X402x443B-1m1	287	265
X403x443B-3m1	222	237
X402x443B-5m1	308	272
X403x443B-5m2	117	115
X402x443B-5m3	262	246
X402x469B-2m1	238	269
X402x449BL-3m1	113	140
X402x452B-5m1	205	214
X402x452B-5m2	138	124
X402x452B-5m3	182	181
X400x452BL-1m1	144	181
X403x465B-3m1	150	160
X400x465BL-3m1	174	155
X402x465BL-3m2	274	288
X402x467B-3m1	231	235
X400x467BL-1m1	114	120
X400x467BL-1m2	121	110
X400x467BL-1m3	232	259
X402x472A-2m1	232	204
X401x472A-4m1	252	273
X403x472B-1m1	221	254
X401x472BL-3m1	148	149
X401x416-3m1	133	206
X403x477A-2m1	209	256
X420-3x402	62	80
X420-4x402	101	92
X423-2x402	83	81
X423-1x402	34	36
X432-2x402	68	68
X432-1x402	94	116
X432L-3x402	80	102
X432-5x402	60	45
X433-2x402	231	186
X433-3x402	101	105
X433-5x402	120	100
X435L-2x402	122	137
X435-1x402	260	225
X435-5x402	219	217
X466-5x402	99	94
X466L-2x402	53	42
X466-4x402	115	118
X486-2x402	295	291
X486-1x402	276	247
X486-3x402	192	209
X418-1x402	106	97
X418-2x402	71	53
X418-3x402	132	111
X421-1x402	150	191
X421-5x402	109	117
X421-4x402	124	129
X422-1x402	188	173
X422-2x402	85	89
X422-4x402	184	197
X427-2x402	158	157
X427L-1x402	129	135
X427-3x402	148	181
X439-1x402	101	88
X439-3x402	166	149
X440-1x402	120	120
X440L-2x402	111	103
X440-3x402	122	123
X442-1x402	211	238
X442-2x402	84	90
X450-2x402	157	196
X450-1x402	126	103
X459-3x402	122	112
X459L-1x402	149	104
X459-2x402	166	139
X468A-2x402	162	155
X468A-1x402	142	152
X468AL-2x402	139	161
X468A-5x402	150	152
X471A-2x402	132	131
X475A-5x402	131	124
X481AL-1x402	40	32
X481A-1x402	63	67
X481A-2x402	128	149
X481A-3x402	141	143
X487A-1x402	201	217
X488-3x402	53	52
X488-1x402T	261	252
X488-2x402	132	126
X489-3x402	215	230
X489-4x402	66	67
X489-5x402	136	146
X490-5x402	238	244
X490-1x402	194	182
X490-3x402	177	198
X498L-2x403	271	233
X498-2x402	249	205
X498-3x402	156	172
X498-4x402	90	117
X498-5x402	147	140
X434-1x402	44	39
X434L-1x402	87	76
X434-3x402	126	163
X437-1x402	113	114
X437-2x402	199	217
X437-3x402	84	69
X441-2x402	184	170
X441-3x402	149	157
X441L-3x402	119	128
X451A-4x402	78	98
X451A-5x402	139	134
X451A-1x402	70	69
X451AL-1x402	216	72
X454-3x402	70	81
X454L-1x402	104	85
X470-2x402	122	111
X474-4x402	178	185
X474-2x402	146	189
X474-1x402	96	110
X491-1x402	3	478
X491L-2x402	236	272
X491-5x402	219	203
X492-1x402	277	256
X492-2x402	257	279
X492-3x402	287	270
X494-1x402	242	239
X494-2x402	181	177
X494-4x402	223	222
X415-4x402	89	92
X415-1x403	119	103
X415L-1x402	136	140
X415-3x402	107	105
X417-2x402	108	79
X417L-1x402	96	108
X417-3x402	136	124
X445-2x402	154	143
X445-1x402	172	174
X445L-3x402	171	183
X445-4x402	169	163
X462A-3x402	147	147
X462A-1x402	114	122
X469A-3x402	74	81
X469A-2x402	151	132
X480A-4x402	168	167
X480AL-1x402	134	123
X484-4x402	21	28
X484-3x402	144	129
X485L-3x402	137	151
X485-5x402	135	137
X485-3x402	196	195
X426-1x402	161	182
X426L-2x402	82	87
X429-2x402	72	74
X429-1x402	61	72
X429L-1x402	157	142
X446L-2x402	202	192
X447-3x402	179	179
X447-1x402	128	129
X447-4x402	145	135
X455-3x402	139	139
X456-2x402	59	68
X456L-1x402	156	146
X456L-3x402	73	75
X457-1x402	172	173
X458-1x402	102	120
X458-2/3x402	24	25
X479A-1x402	126	160
X463A-1x402	201	164
X463A-2x402	267	277
X463A-3x402	245	235
X438-2x402	134	111
X438-4x402	148	148
X460-2x402	229	221
X460L-1x402	204	209
X460-3x402	134	110
X478A-3x402	110	124
X478A-2x402	101	121
X461B-1x402	124	124
X461B-3x402	178	177
X461BL-2x402	94	137
X461B-4x402	219	180
X444B-1x402	132	143
X444B-3x402	123	114
X471A-1x402	144	145
X471B-1x402	196	179
X487B-2x402	136	108
X487B-3x402	237	181
X495B-1x402	207	192
X495B-2x402	142	142
X495B-5x402	242	215
X497BL-2x400	183	195
X443B-1x402	181	201
X443B-5x402	194	174
X443B-3x402	246	228
X469B-2x402	227	201
X469BL-2x402	170	145
X449BL-3x402	126	135
X452B-5x402	185	167
X452BL-1x402	144	148
X465BL-3x402	224	221
X465B-3x402	168	184
X467BL-1x402	160	117
X467B-3x402	165	173
X472B-1x402	199	186
X472A-2x402	199	190
X472A-4x402	191	211
X472BL-3x402	117	367
X401x519-2m1	214	254
X401x519-3m1	264	224
X400x519L-2m1	156	155
X400x519L-3m1	195	171
X402x524-1m1	245	272
X402x524-1m2	139	193
X401x524-1m3	177	165
X401x528-2m1	199	260
X401x528-5m1	215	233
X402x528-5m2	220	208
X402x528-5m3	190	212
X402x528-5m4	228	255
X402x529A-1m1	344	356
X400x529A-1m2	135	171
X402x529A-1m4	182	201
X403x529A-2m1	250	245
X400x529A-6m1	175	189
X402x537A-1m2	153	199
X402x537A-1m3	173	252
X402x537A-1m6	34	35
X402x537A-1m5	2	5
X400x537A-2m1	183	212
X400x537A-2m2	114	123
X400x537A-2m3	48	58
X400x537A-2m4	103	134
X400x537A-2m5	40	45
X400x537A-2m6	41	52
X400x537A-2m7	13	11
X400x537A-2m8	138	158
X400x537A-3m1	166	224
X400x504AL-1m1	140	152
X401x504AL-2m1	300	265
X403x507A-2m1	206	229
X400x508L-2m1	198	186
X400x509L-1m1	120	201
X400x509L-2m1	163	146
X403x509L-4m1	164	244
X403x511-2m1	222	219
X403x511-3m1	146	242
X401x511-3m2	149	243
X400x511L-4m1	195	207
X401x513-1m1	215	225
X401x513-2m1	252	269
X401x513-3m1	252	289
X401x517-1m1	140	199
X402x517-4m1	297	326
X401x517L-1m1	0	346
X403x517L-5m1	282	256
X400x518L-2m1	183	196
X403x518L-3m1	209	189
X401x522-1m1	193	181
X402x522-3m1	159	155
X403x522AL-1m1	209	207
X400x522AL-2m1	184	189
X403x526-1m1	241	248
X403x526-3m1	237	256
X401x526-4m1	153	188
X403x527A-1m1	253	292
X402x527A-3m1	262	252
X400x532-1m1	169	187
X400x532-1m2	130	115
X400x532-4m1	112	100
X400x532-4m2	149	140
X400x532-4m4	153	137
X401x532-5m1	102	79
X400x532-5m2	198	163
X402x532-5m3	229	254
X403x533A-2m1	182	148
X403x533A-7m1	199	206
X402x533A-8m1	220	203
X400x533A-8m2	164	147
X400x533A-8m3	205	161
X403x533A-8m4	182	219
X403x538-1m1	224	216
X403x538-2m1	167	186
X402x539-1m1	207	195
X402x539-2m1	156	181
X400x539-3m1	138	193
X400x539-4m1	120	160
X400x539-4m2	49	66
X400x539-4m4	72	96
X400x539-4m3	60	69
X400x539-4m6	141	220
X400x539-4m5	137	175
X401x516-1m1	215	213
X402x516-4m1	201	191
X401x516L-2m1	246	266
X401x516L-3m1	191	231
X401x520-1m1	173	152
X401x520-2m1	191	203
X403x520L-1m1	160	145
X400x520L-2m1	173	168
X402x525-1m1	162	211
X402x525-1m2	317	307
X401x525-1m3	210	192
X400x505A-1m1	186	123
X401x505A-2m1	212	203
X403x505A-2m2	251	236
X401x505AL-1m1	254	266
X401x505AL-4m1	152	148
X401x514-1m1	284	277
X400x514L-3m1	152	165
X400x514L-5m1	131	141
X403x515-3m1	131	153
X401x515-3m2	210	232
X402x515-4m1	294	275
X400x515L-3m1	139	168
X401x521-1m1	179	218
X403x521-3m1	221	260
X401x521-4m1	141	145
X400x521AL-9m2	150	170
X402x534-1m1	91	96
X400x534-1m2	230	181
X402x534-2m1	199	167
