allele	raw_p	adjusted_p	group	percent_transmission	glm_adj_p_sig	FPKM	PCR_confirmed
tdsgR12H07	0.608727118090202	0.871827249506092	females	0.490424076607387	0	37.5026	TRUE
tdsgR23D05	0.391875885970596	0.820428642853032	females	0.514428412874584	0	31.1667	TRUE
tdsgR24D03	0.0353714539617769	0.265285904713327	females	0.529256323140808	0	165.028	TRUE
tdsgR26G07	0.900026165540517	0.931061550559155	females	0.498757882667686	0	118.053	TRUE
tdsgR27E01	0.167604559450806	0.670418237803222	females	0.517719072164949	0	47.4902	TRUE
tdsgR29A11	0.300163849305777	0.820428642853032	females	0.484304932735426	0	25.5451	FALSE
tdsgR31B01	0.256564983871818	0.820428642853032	females	0.515683345780433	0	46.2179	TRUE
tdsgR31H05	0.229992583582872	0.811738530292489	females	0.519407558733401	0	196.9	TRUE
tdsgR32B05	0.69828079138853	0.891422286878974	females	0.505301645338208	0	32.8555	TRUE
tdsgR33F03	0.431686387099538	0.820428642853032	females	0.489276626681207	0	304.574	TRUE
tdsgR34C11	2.5993388552692e-07	1.55960331316152e-05	females	0.575342465753425	1	885.729	TRUE
tdsgR35A03	0.507289287503505	0.869638778577437	females	0.50762470922719	0	160.436	TRUE
tdsgR35A08	0.983423016384595	0.983423016384595	females	0.499779151943463	0	162	TRUE
tdsgR41F01	0.566011180378916	0.870786431352179	females	0.507660167130919	0	159.129	TRUE
tdsgR44E07	0.652491658626696	0.871827249506092	females	0.505459770114942	0	116.5753333	TRUE
tdsgR45E04	0.419974070532358	0.820428642853032	females	0.5097869890616	0	32.8555	TRUE
tdsgR46C04	0.411433123914949	0.820428642853032	females	0.511135057471264	0	106.187666666667	TRUE
tdsgR49F11	0.618275555335726	0.871827249506092	females	0.505908216543006	0	4175.48	TRUE
tdsgR52B09	0.397725065305977	0.820428642853032	females	0.511088709677419	0	96.7292666666667	TRUE
tdsgR52E07	0.353301541590192	0.820428642853032	females	0.510621960583568	0	153.004	TRUE
tdsgR53C03	0.105099037394476	0.525495186972381	females	0.518288131375964	0	48.0851	TRUE
tdsgR60D10	0.0884528642331732	0.495717424807036	females	0.525401650021711	0	76.6179	TRUE
tdsgR63F09	0.391262836582619	0.820428642853032	females	0.510900473933649	0	38.2865666666667	TRUE
tdsgR65A10	0.362162449747661	0.820428642853032	females	0.510893854748603	0	695.5563333	TRUE
tdsgR65E02	0.00236275512894824	0.0354413269342235	females	0.538365952159056	1	234.641	TRUE
tdsgR67C09	0.432677730754394	0.820428642853032	females	0.510861423220974	0	21028.2	TRUE
tdsgR67H12	0.653870437129569	0.871827249506092	females	0.505714285714286	0	58.0787	FALSE
tdsgR72D11	0.55577975873111	0.870786431352179	females	0.492601726263872	0	90.5725	TRUE
tdsgR77F09	0.159150229542846	0.670418237803222	females	0.523600439077936	0	33.3009	TRUE
tdsgR81E02	0.451071541036841	0.820428642853032	females	0.490919409761635	0	4371.01	TRUE
tdsgR81G05	0.412103786735794	0.820428642853032	females	0.488896848137536	0	64.6735	TRUE
tdsgR82A03	0.09088152788129	0.495717424807036	females	0.478945774007876	0	392.156	TRUE
tdsgR83A02	0.7376918772282	0.903296176197796	females	0.495409474843922	0	508.239	TRUE
tdsgR83B04	0.859253410778756	0.922072034219235	females	0.502680965147453	0	90.3365	TRUE
tdsgR84A12	0.000585368837749289	0.0118813981453281	females	0.534318491153024	1	392.156	TRUE
tdsgR85A08	0.649711393697042	0.871827249506092	females	0.493404781533388	0	242.762	FALSE
tdsgR87A03	0.451235753569168	0.820428642853032	females	0.509843176509843	0	51.2846	TRUE
tdsgR88B08	0.875968432508273	0.922072034219235	females	0.502492522432702	0	720.42	TRUE
tdsgR89B08	0.565740500384653	0.870786431352179	females	0.507670850767085	0	43.9868	FALSE
tdsgR91F11	0.729871490725347	0.903296176197796	females	0.504206556425878	0	220.451	TRUE
tdsgR91G06	0.788097533634077	0.909737427066914	females	0.503359804520464	0	53.8378	TRUE
tdsgR92A10	0.645641340335113	0.871827249506092	females	0.506978838361099	0	132.288	TRUE
tdsgR92F08	0.19574313969091	0.734036773840912	females	0.481376518218623	0	330.685	TRUE
tdsgR98H09	0.0479077110312305	0.319384740208203	females	0.527640106747998	0	369.498	TRUE
tdsgR99B02	0.483083288423283	0.852499920746971	females	0.509151414309484	0	56.2152	TRUE
